Country Code ISO3,Country,Regions used for the SDR,year,population,SDG Index Score,economic development index
AFG,Afghanistan,E. Europe & C. Asia,2002,19961213,36.3,2.98132
SOM,Somalia,Sub-Saharan Africa,2002,9244859,43.3,3.89144
ZMB,Zambia,Sub-Saharan Africa,2002,10351930,47.5,4.08435
CAF,Central African Republic,Sub-Saharan Africa,2002,3877630,38.4,4.37963
SLE,Sierra Leone,Sub-Saharan Africa,2002,5031382,45.8,4.77918
AGO,Angola,Sub-Saharan Africa,2002,17222016,47.4,4.82414
ETH,Ethiopia,Sub-Saharan Africa,2002,70033590,44.2,4.87863
GIN,Guinea,Sub-Saharan Africa,2002,8480850,46.2,4.97283
MRT,Mauritania,Sub-Saharan Africa,2002,2791120,45.6,5.19288
TCD,Chad,Sub-Saharan Africa,2002,8683075,38.8,5.28112
LBR,Liberia,Sub-Saharan Africa,2002,3028003,43.1,5.34405
NER,Niger,Sub-Saharan Africa,2002,12239615,38.3,5.38164
BDI,Burundi,Sub-Saharan Africa,2002,6559784,46.5,5.43791
SDN,Sudan,Sub-Saharan Africa,2002,27262018,43.7,5.56491
YEM,"Yemen, Rep.",MENA,2002,19400494,47,5.69302
BFA,Burkina Faso,Sub-Saharan Africa,2002,12437201,44.4,5.71781
_LIC,Low-income Countries,,2002,,44,5.79971
LSO,Lesotho,Sub-Saharan Africa,2002,1999135,46.5,5.8169
PNG,Papua New Guinea,Oceania,2002,5794532,53.2,5.87207
IRQ,Iraq,MENA,2002,25808835,56.6,5.9218
NAM,Namibia,Sub-Saharan Africa,2002,1873838,55.5,5.98767
NPL,Nepal,East & South Asia,2002,25151443,50.8,6.01507
MLI,Mali,Sub-Saharan Africa,2002,11762149,45.3,6.11277
GMB,"Gambia, The",Sub-Saharan Africa,2002,1500658,47,6.29323
MOZ,Mozambique,Sub-Saharan Africa,2002,18452440,44,6.68195
LAO,Lao PDR,East & South Asia,2002,5563649,52.8,6.73736
CIV,Cote d'Ivoire,Sub-Saharan Africa,2002,17466790,50.9,6.75314
BIH,Bosnia and Herzegovina,E. Europe & C. Asia,2002,4202873,67.7,6.84796
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,2002,50882315,44.4,7.24347
_Africa,Sub-Saharan Africa,,2002,,45.6,7.34441
MMR,Myanmar,East & South Asia,2002,46249578,51.8,7.38765
MDG,Madagascar,Sub-Saharan Africa,2002,16959142,43.9,7.40776
KHM,Cambodia,East & South Asia,2002,12448835,48.5,7.45751
TZA,Tanzania,Sub-Saharan Africa,2002,35873653,50.3,7.46469
NIC,Nicaragua,LAC,2002,5226605,57.3,7.91661
GAB,Gabon,Sub-Saharan Africa,2002,1323776,56.3,8.06492
TGO,Togo,Sub-Saharan Africa,2002,5213446,49,8.09259
NGA,Nigeria,Sub-Saharan Africa,2002,127836875,46.6,8.11761
RWA,Rwanda,Sub-Saharan Africa,2002,8285211,46.2,8.26018
TJK,Tajikistan,E. Europe & C. Asia,2002,6475457,60.7,8.44865
PAK,Pakistan,East & South Asia,2002,161518097,52.9,8.47198
SEN,Senegal,Sub-Saharan Africa,2002,10057116,48.9,8.49606
HND,Honduras,LAC,2002,6928766,57.2,8.54948
DZA,Algeria,MENA,2002,31413562,66,8.58769
MWI,Malawi,Sub-Saharan Africa,2002,11637665,49.4,8.68587
ALB,Albania,E. Europe & C. Asia,2002,3138896,65.7,9.05445
KGZ,Kyrgyz Republic,E. Europe & C. Asia,2002,5003924,67.5,9.0594
UGA,Uganda,Sub-Saharan Africa,2002,25131948,47,9.13566
AZE,Azerbaijan,E. Europe & C. Asia,2002,8327286,66.4,9.43108
LKA,Sri Lanka,East & South Asia,2002,19015165,64.4,9.54352
KEN,Kenya,Sub-Saharan Africa,2002,32294989,51.5,9.57896
GTM,Guatemala,LAC,2002,12148927,55,9.60693
BWA,Botswana,Sub-Saharan Africa,2002,1779253,54.7,9.64053
IDN,Indonesia,East & South Asia,2002,218624134,60.2,9.86089
PRY,Paraguay,LAC,2002,5251911,60.5,9.90958
VEN,"Venezuela, RB",LAC,2002,25102384,62.7,10.0359
COL,Colombia,OECD,2002,40147368,64,10.32626
BOL,Bolivia,LAC,2002,8822803,60.2,10.5447
_LIC_LMIC,Lower & Lower-middle Income,,2002,,52.5,10.59668
SLV,El Salvador,LAC,2002,6001433,59.4,10.66084
JAM,Jamaica,LAC,2002,2631841,66.2,10.66234
IRN,"Iran, Islamic Rep.",MENA,2002,67240765,61.8,11.08039
GHA,Ghana,Sub-Saharan Africa,2002,20472546,54.9,11.24018
MNG,Mongolia,East & South Asia,2002,2483604,60.4,11.34298
_MENA,Middle East and North Africa,,2002,,61.4,11.34366
_LMIC,Lower-middle-income Countries,,2002,,54.1,11.39435
PHL,Philippines,East & South Asia,2002,80456517,59.7,11.59839
ARM,Armenia,E. Europe & C. Asia,2002,3116912,67.4,11.79758
GEO,Georgia,E. Europe & C. Asia,2002,4089597,68.4,11.99177
MDA,Moldova,E. Europe & C. Asia,2002,4174502,69.6,12.06672
JOR,Jordan,MENA,2002,5217755,66.7,12.07566
UZB,Uzbekistan,E. Europe & C. Asia,2002,25413536,62.1,12.37285
EGY,"Egypt, Arab Rep.",MENA,2002,73603311,65.2,12.72594
PER,Peru,LAC,2002,27183182,62.6,12.88311
MAR,Morocco,MENA,2002,29117800,60,12.92185
TUN,Tunisia,MENA,2002,10045127,65.4,13.15222
OMN,Oman,MENA,2002,2389537,59.8,13.17324
ECU,Ecuador,LAC,2002,12956517,62.8,13.26726
IND,India,East & South Asia,2002,1088686207,51.7,13.80498
VNM,Vietnam,East & South Asia,2002,80223893,64.2,14.13086
BGR,Bulgaria,E. Europe & C. Asia,2002,8004225,70.5,14.20428
PAN,Panama,LAC,2002,3090858,61.7,14.3542
ROU,Romania,E. Europe & C. Asia,2002,21734508,68.2,14.43658
MUS,Mauritius,Sub-Saharan Africa,2002,1229648,65.2,14.62918
URY,Uruguay,LAC,2002,3304239,69.2,14.75568
_E_S_Asia,East and South Asia,,2002,,57.1,15.16263
_LAC,Latin America and the Caribbean,,2002,,64.8,15.40302
THA,Thailand,East & South Asia,2002,63937914,67.4,15.52554
TTO,Trinidad and Tobago,LAC,2002,1342034,61.1,15.86148
BRN,Brunei Darussalam,East & South Asia,2002,344131,62.1,15.87014
ARG,Argentina,LAC,2002,37683438,66.3,15.99682
MEX,Mexico,OECD,2002,100153815,63,16.72352
QAT,Qatar,MENA,2002,695340,55.2,16.94692
TUR,T¨¹rkiye,OECD,2002,65561967,66.6,17.43739
CRI,Costa Rica,OECD,2002,4089093,69,17.6912
BHR,Bahrain,MENA,2002,739517,57.6,18.68064
_UMIC,Upper-middle-income Countries,,2002,,63.8,18.7879
BRA,Brazil,LAC,2002,179368980,68.3,18.8864
KAZ,Kazakhstan,E. Europe & C. Asia,2002,15306470,66.4,19.20929
_World,World,,2002,,59.3,19.53688
CHL,Chile,OECD,2002,15608829,71.7,19.66111
LVA,Latvia,OECD,2002,2342394,74.1,19.91012
MNE,Montenegro,E. Europe & C. Asia,2002,632961,65.4,20.03598
CHN,China,East & South Asia,2002,1276891180,62.5,20.04209
LTU,Lithuania,OECD,2002,3538696,70.3,20.12583
MKD,North Macedonia,E. Europe & C. Asia,2002,2061396,66.3,20.20961
HRV,Croatia,E. Europe & C. Asia,2002,4494073,73.3,20.23222
_E_Euro_Asia,Eastern Europe and Central Asia,,2002,,66.5,20.27398
SAU,Saudi Arabia,MENA,2002,22355481,58.1,20.48252
BLR,Belarus,E. Europe & C. Asia,2002,10170876,72.7,20.73895
ZAF,South Africa,Sub-Saharan Africa,2002,47439719,59.5,21.84074
HUN,Hungary,OECD,2002,10165273,74.8,22.38417
GRC,Greece,OECD,2002,11086898,71.5,22.48551
MLT,Malta,E. Europe & C. Asia,2002,403547,68.8,24.74944
SVK,Slovak Republic,OECD,2002,5375760,73.3,25.55847
MYS,Malaysia,East & South Asia,2002,23841913,62.9,25.59075
SRB,Serbia,E. Europe & C. Asia,2002,7911606,69.6,26.09791
ESP,Spain,OECD,2002,41083313,73.8,27.04476
ARE,United Arab Emirates,MENA,2002,3543847,60,28.87748
PRT,Portugal,OECD,2002,10404375,71.6,28.94366
RUS,Russian Federation,E. Europe & C. Asia,2002,145911148,67.5,29.65063
CZE,Czechia,OECD,2002,10232614,74.5,31.81556
ITA,Italy,OECD,2002,57007923,72.2,32.00382
SVN,Slovenia,OECD,2002,1981479,75.1,34.99102
POL,Poland,OECD,2002,38657746,73.6,34.99534
EST,Estonia,OECD,2002,1383395,71.5,35.15091
CYP,Cyprus,E. Europe & C. Asia,2002,705539,67.1,35.6697
FRA,France,OECD,2002,59193575,75.6,36.85642
AUT,Austria,OECD,2002,8059591,78.5,37.31743
KWT,Kuwait,MENA,2002,2019842,61,37.36425
BEL,Belgium,OECD,2002,10332714,73.5,38.29102
_OECD,OECD members,,2002,,72.7,42.68612
DEU,Germany,OECD,2002,81487381,77.3,44.26464
IRL,Ireland,OECD,2002,3862065,74.7,45.7373
_HIC,High-income Countries,,2002,,73.5,46.39415
USA,United States,OECD,2002,286960506,71.6,47.1799
DNK,Denmark,OECD,2002,5370181,82,47.48153
ISR,Israel,OECD,2002,6297684,68.9,49.06257
NZL,New Zealand,OECD,2002,3911981,74.6,50.22489
FIN,Finland,OECD,2002,5194912,82.8,51.71169
GBR,United Kingdom,OECD,2002,59218727,77.3,52.16354
LUX,Luxembourg,OECD,2002,443770,72.9,52.4377
CAN,Canada,OECD,2002,31168507,74.6,52.47893
CHE,Switzerland,OECD,2002,7247225,77.4,52.79548
SGP,Singapore,East & South Asia,2002,4150372,66.9,53.42219
NLD,Netherlands,OECD,2002,16020930,75.7,54.92407
ISL,Iceland,OECD,2002,286848,75.9,55.32065
AUS,Australia,OECD,2002,19363672,71.4,58.1731
NOR,Norway,OECD,2002,4524348,79.6,64.96547
KOR,"Korea, Rep.",OECD,2002,47202476,72.8,69.31781
JPN,Japan,OECD,2002,127188691,75.7,71.4889
SWE,Sweden,OECD,2002,8910203,84.2,77.75299
BHS,"Bahamas, The",LAC,2002,331791,57,--
BGD,Bangladesh,East & South Asia,2002,132929883,54.7,--
BRB,Barbados,LAC,2002,265922,67.8,--
BLZ,Belize,LAC,2002,252014,61,--
BEN,Benin,Sub-Saharan Africa,2002,7320455,47.6,--
BTN,Bhutan,East & South Asia,2002,611200,58.4,--
CPV,Cabo Verde,Sub-Saharan Africa,2002,469700,60,--
CMR,Cameroon,Sub-Saharan Africa,2002,15697143,48.4,--
COM,Comoros,Sub-Saharan Africa,2002,553381,46,--
COG,"Congo, Rep.",Sub-Saharan Africa,2002,3295670,45.2,--
CUB,Cuba,LAC,2002,11155006,74.2,--
DJI,Djibouti,Sub-Saharan Africa,2002,777856,46.1,--
DOM,Dominican Republic,LAC,2002,8732516,62.7,--
SWZ,Eswatini,Sub-Saharan Africa,2002,1046521,48.4,--
FJI,Fiji,Oceania,2002,845701,66.9,--
GUY,Guyana,LAC,2002,760127,63.6,--
HTI,Haiti,LAC,2002,8586776,49.2,--
LBN,Lebanon,MENA,2002,4423080,62.2,--
MDV,Maldives,East & South Asia,2002,289804,62,--
_Oceania,Oceania,,2002,,51.9,--
STP,Sao Tome and Principe,Sub-Saharan Africa,2002,147878,53.6,--
_SIDS,Small Island Developing States,,2002,,59.3,--
SSD,South Sudan,Sub-Saharan Africa,2002,6537487,37.4,--
SUR,Suriname,LAC,2002,491560,63.1,--
SYR,Syrian Arab Republic,MENA,2002,16943421,59.2,--
TKM,Turkmenistan,E. Europe & C. Asia,2002,4667464,66.4,--
UKR,Ukraine,E. Europe & C. Asia,2002,48175653,69.7,--
ZWE,Zimbabwe,Sub-Saharan Africa,2002,11943816,52,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
