Country Code ISO3,Country,Regions used for the SDR,year,population,SDG Index Score,economic development index
AFG,Afghanistan,E. Europe & C. Asia,2012,29922140,39.7,5.4179
ALB,Albania,E. Europe & C. Asia,2012,2895406,70.7,30.05577
DZA,Algeria,MENA,2012,36893727,71.2,15.28905
AGO,Angola,Sub-Saharan Africa,2012,24714934,52.4,11.60321
ARG,Argentina,LAC,2012,41734012,70.7,35.50958
ARM,Armenia,E. Europe & C. Asia,2012,2920974,71.1,29.47919
AUS,Australia,OECD,2012,22532696,72.5,80.44824
AUT,Austria,OECD,2012,8407717,80.8,75.36563
AZE,Azerbaijan,E. Europe & C. Asia,2012,9421423,69.7,30.23088
BHS,"Bahamas, The",LAC,2012,380080,57.8,--
BHR,Bahrain,MENA,2012,1210507,58.9,59.6546
BGD,Bangladesh,East & South Asia,2012,151127293,58.3,--
BRB,Barbados,LAC,2012,275854,69.1,--
BLR,Belarus,E. Europe & C. Asia,2012,9696203,75.5,39.28024
BEL,Belgium,OECD,2012,10994625,76.7,62.951
BLZ,Belize,LAC,2012,333277,65.6,--
BEN,Benin,Sub-Saharan Africa,2012,9868727,48.5,--
BTN,Bhutan,East & South Asia,2012,717239,65.3,--
BOL,Bolivia,LAC,2012,10482991,63.7,21.36343
BIH,Bosnia and Herzegovina,E. Europe & C. Asia,2012,3708845,69.1,24.42264
BWA,Botswana,Sub-Saharan Africa,2012,2154809,57.1,16.64438
BRA,Brazil,LAC,2012,199096370,70.9,43.30018
BRN,Brunei Darussalam,East & South Asia,2012,404082,62.5,54.43952
BGR,Bulgaria,E. Europe & C. Asia,2012,7517253,74.6,44.70888
BFA,Burkina Faso,Sub-Saharan Africa,2012,16851636,49.1,9.92905
BDI,Burundi,Sub-Saharan Africa,2012,9613966,51.3,8.98579
CPV,Cabo Verde,Sub-Saharan Africa,2012,530824,63.7,--
KHM,Cambodia,East & South Asia,2012,14679557,55.3,13.5588
CMR,Cameroon,Sub-Saharan Africa,2012,20736382,52.7,--
CAN,Canada,OECD,2012,34503279,75.9,61.31228
CAF,Central African Republic,Sub-Saharan Africa,2012,4758367,39.0,6.3245
TCD,Chad,Sub-Saharan Africa,2012,12537257,39.9,8.10306
CHL,Chile,OECD,2012,17258884,74.4,37.97329
CHN,China,East & South Asia,2012,1361505803,66.2,47.1662
COL,Colombia,OECD,2012,45550120,67.0,27.89658
COM,Comoros,Sub-Saharan Africa,2012,677230,49.0,--
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,2012,69821353,46.4,8.00937
COG,"Congo, Rep.",Sub-Saharan Africa,2012,4656246,50.7,--
CRI,Costa Rica,OECD,2012,4708701,71.0,43.7111
CIV,Cote d'Ivoire,Sub-Saharan Africa,2012,21782178,51.3,9.45474
HRV,Croatia,E. Europe & C. Asia,2012,4342471,76.6,49.7678
CUB,Cuba,LAC,2012,11303229,74.0,--
CYP,Cyprus,E. Europe & C. Asia,2012,862011,69.7,43.91939
CZE,Czechia,OECD,2012,10505718,78.1,57.7135
DNK,Denmark,OECD,2012,5588402,84.0,90.10139
DJI,Djibouti,Sub-Saharan Africa,2012,945553,46.9,--
DOM,Dominican Republic,LAC,2012,9967567,67.3,--
_E_S_Asia,East and South Asia,,2012,,60.6,31.31906
_E_Euro_Asia,Eastern Europe and Central Asia,,2012,,67.9,36.5095
ECU,Ecuador,LAC,2012,15362278,67.7,29.52602
EGY,"Egypt, Arab Rep.",MENA,2012,90234219,67.1,29.83478
SLV,El Salvador,LAC,2012,6149098,66.5,19.31431
EST,Estonia,OECD,2012,1325198,76.8,69.7321
SWZ,Eswatini,Sub-Saharan Africa,2012,1108226,54.2,--
ETH,Ethiopia,Sub-Saharan Africa,2012,93130176,49.3,11.53146
FJI,Fiji,Oceania,2012,909791,67.0,--
FIN,Finland,OECD,2012,5401154,85.5,94.06118
FRA,France,OECD,2012,62934237,78.7,67.99104
GAB,Gabon,Sub-Saharan Africa,2012,1804061,59.1,16.33698
GMB,"Gambia, The",Sub-Saharan Africa,2012,2029221,51.0,11.25295
GEO,Georgia,E. Europe & C. Asia,2012,3813505,70.8,24.14035
DEU,Germany,OECD,2012,81480007,80.1,70.94284
GHA,Ghana,Sub-Saharan Africa,2012,26527198,58.9,25.35388
GRC,Greece,OECD,2012,10987779,73.9,39.82719
GTM,Guatemala,LAC,2012,14979964,57.2,17.38856
GIN,Guinea,Sub-Saharan Africa,2012,10657889,50.2,9.1118
GUY,Guyana,LAC,2012,742293,65.1,--
HTI,Haiti,LAC,2012,10031716,50.4,--
_HIC,High-income Countries,,2012,,75.6,72.47281
HND,Honduras,LAC,2012,8707844,59.8,16.67152
HUN,Hungary,OECD,2012,9933856,77.2,46.78583
ISL,Iceland,OECD,2012,319846,76.6,76.06711
IND,India,East & South Asia,2012,1266100530,55.5,22.50438
IDN,Indonesia,East & South Asia,2012,248665574,62.6,23.02281
IRN,"Iran, Islamic Rep.",MENA,2012,76771900,64.6,17.75859
IRQ,Iraq,MENA,2012,32993518,59.4,10.56558
IRL,Ireland,OECD,2012,4554169,78.9,63.29128
ISR,Israel,OECD,2012,7525222,70.6,78.84236
ITA,Italy,OECD,2012,60102937,76.5,54.07509
JAM,Jamaica,LAC,2012,2752810,68.1,19.69642
JPN,Japan,OECD,2012,127935051,77.6,90.16516
JOR,Jordan,MENA,2012,7199646,67.8,24.31368
KAZ,Kazakhstan,E. Europe & C. Asia,2012,16983260,69.7,37.71779
KEN,Kenya,Sub-Saharan Africa,2012,43184612,54.5,18.7445
KOR,"Korea, Rep.",OECD,2012,49400155,75.8,95.95337
KWT,Kuwait,MENA,2012,3268865,61.5,45.41906
KGZ,Kyrgyz Republic,E. Europe & C. Asia,2012,5589765,71.3,21.77945
LAO,Lao PDR,East & South Asia,2012,6462643,57.8,13.46517
_LAC,Latin America and the Caribbean,,2012,,67.7,34.67545
LVA,Latvia,OECD,2012,2065089,77.8,49.2245
LBN,Lebanon,MENA,2012,5080901,65.7,--
LSO,Lesotho,Sub-Saharan Africa,2012,2045748,50.5,11.29352
LBR,Liberia,Sub-Saharan Africa,2012,4284322,47.2,9.02289
LTU,Lithuania,OECD,2012,3081065,73.7,45.28514
_LIC_LMIC,Lower & Lower-middle Income,,2012,,55.7,19.22821
_LMIC,Lower-middle-income Countries,,2012,,57.3,20.85458
_LIC,Low-income Countries,,2012,,48.1,10.39309
LUX,Luxembourg,OECD,2012,524458,74.5,68.91355
MDG,Madagascar,Sub-Saharan Africa,2012,22657201,48.0,9.70698
MWI,Malawi,Sub-Saharan Africa,2012,15361888,51.3,12.97922
MYS,Malaysia,East & South Asia,2012,29421426,65.1,42.07776
MDV,Maldives,East & South Asia,2012,380946,65.6,--
MLI,Mali,Sub-Saharan Africa,2012,16297156,53.7,13.10375
MLT,Malta,E. Europe & C. Asia,2012,426403,72.5,46.16995
MRT,Mauritania,Sub-Saharan Africa,2012,3578629,51.3,8.3929
MUS,Mauritius,Sub-Saharan Africa,2012,1287533,65.7,29.38394
MEX,Mexico,OECD,2012,114969919,66.5,34.90533
_MENA,Middle East and North Africa,,2012,,64.1,24.69607
MDA,Moldova,E. Europe & C. Asia,2012,3552167,74.9,36.92356
MNG,Mongolia,East & South Asia,2012,2767175,61.6,21.84716
MNE,Montenegro,E. Europe & C. Asia,2012,632524,67.2,29.40347
MAR,Morocco,MENA,2012,33126922,66.0,33.51452
MOZ,Mozambique,Sub-Saharan Africa,2012,24114100,49.4,11.95285
MMR,Myanmar,East & South Asia,2012,50004267,55.0,11.51054
NAM,Namibia,Sub-Saharan Africa,2012,2149300,60.1,22.72156
NPL,Nepal,East & South Asia,2012,27305020,60.0,16.87345
NLD,Netherlands,OECD,2012,16744294,77.6,70.49495
NZL,New Zealand,OECD,2012,4395630,75.2,62.50442
NIC,Nicaragua,LAC,2012,5986340,62.6,14.18326
NER,Niger,Sub-Saharan Africa,2012,17606858,44.7,8.47798
NGA,Nigeria,Sub-Saharan Africa,2012,167754988,51.2,15.56396
MKD,North Macedonia,E. Europe & C. Asia,2012,2098272,69.2,34.44024
NOR,Norway,OECD,2012,4986341,80.8,75.25025
_Oceania,Oceania,,2012,,51.5,--
_OECD,OECD members,,2012,,75.4,67.64209
OMN,Oman,MENA,2012,3371124,61.7,41.16599
PAK,Pakistan,East & South Asia,2012,200580885,54.8,16.44993
PAN,Panama,LAC,2012,3721533,63.5,30.29997
PNG,Papua New Guinea,Oceania,2012,7916842,52.9,9.28441
PRY,Paraguay,LAC,2012,5882947,65.0,20.5506
PER,Peru,LAC,2012,29608769,66.7,21.60183
PHL,Philippines,East & South Asia,2012,97189306,62.2,21.4707
POL,Poland,OECD,2012,38626773,77.4,52.42477
PRT,Portugal,OECD,2012,10549644,76.1,48.92879
QAT,Qatar,MENA,2012,1854550,60.3,54.00404
ROU,Romania,E. Europe & C. Asia,2012,20173465,74.3,36.07063
RUS,Russian Federation,E. Europe & C. Asia,2012,143473269,68.7,50.54532
RWA,Rwanda,Sub-Saharan Africa,2012,10710965,52.9,15.65849
STP,Sao Tome and Principe,Sub-Saharan Africa,2012,187986,61.0,--
SAU,Saudi Arabia,MENA,2012,30487334,59.0,46.11093
SEN,Senegal,Sub-Saharan Africa,2012,13051638,55.0,15.34252
SRB,Serbia,E. Europe & C. Asia,2012,7604680,72.0,45.2118
SLE,Sierra Leone,Sub-Saharan Africa,2012,6701097,51.2,10.62354
SGP,Singapore,East & South Asia,2012,5331541,68.8,78.7209
SVK,Slovak Republic,OECD,2012,5406107,76.7,45.88875
SVN,Slovenia,OECD,2012,2067622,79.7,62.11832
_SIDS,Small Island Developing States,,2012,,61.2,--
SOM,Somalia,Sub-Saharan Africa,2012,12256039,45.0,5.50437
ZAF,South Africa,Sub-Saharan Africa,2012,52782359,61.1,35.73153
SSD,South Sudan,Sub-Saharan Africa,2012,10485644,37.4,--
ESP,Spain,OECD,2012,46801250,77.0,55.48174
