Country Code ISO3,Country,Regions used for the SDR,year,population,SDG Index Score,Economic development index
AFG,Afghanistan,E. Europe & C. Asia,2022,40580490,49.0,9.63986
ALB,Albania,E. Europe & C. Asia,2022,2847853,73.5,35.49606
DZA,Algeria,MENA,2022,44543592,70.8,40.27472
AGO,Angola,Sub-Saharan Africa,2022,35049572,50.8,14.29719
ARG,Argentina,LAC,2022,45389937,73.7,43.26234
ARM,Armenia,E. Europe & C. Asia,2022,2783226,73.3,36.60363
AUS,Australia,OECD,2022,26046256,75.9,72.67639
AUT,Austria,OECD,2022,8929716,82.3,90.8137
AZE,Azerbaijan,E. Europe & C. Asia,2022,10329610,73.5,34.77951
BHS,"Bahamas, The",LAC,2022,408647,60.9,--
BHR,Bahrain,MENA,2022,1465626,63.7,43.46189
BGD,Bangladesh,East & South Asia,2022,170297594,65.9,--
BRB,Barbados,LAC,2022,281440,69.4,--
BLR,Belarus,E. Europe & C. Asia,2022,9549898,77.5,46.10915
BEL,Belgium,OECD,2022,11640679,79.5,94.1055
BLZ,Belize,LAC,2022,402647,64.6,--
BEN,Benin,Sub-Saharan Africa,2022,13174363,55.1,--
BTN,Bhutan,East & South Asia,2022,779965,72.3,--
BOL,Bolivia,LAC,2022,12148966,68.9,31.94692
BIH,Bosnia and Herzegovina,E. Europe & C. Asia,2022,3246045,74.0,33.9378
BWA,Botswana,Sub-Saharan Africa,2022,2607583,62.7,41.32314
BRA,Brazil,LAC,2022,214824774,73.7,55.32975
BRN,Brunei Darussalam,East & South Asia,2022,447189,65.7,44.02068
BGR,Bulgaria,E. Europe & C. Asia,2022,6833621,74.6,51.5279
BFA,Burkina Faso,Sub-Saharan Africa,2022,22388008,52.4,23.60161
BDI,Burundi,Sub-Saharan Africa,2022,12715870,53.9,16.62686
CPV,Cabo Verde,Sub-Saharan Africa,2022,590503,68.8,--
KHM,Cambodia,East & South Asia,2022,16680606,64.8,32.1386
CMR,Cameroon,Sub-Saharan Africa,2022,27552212,55.1,--
CAN,Canada,OECD,2022,38290846,78.5,67.71943
CAF,Central African Republic,Sub-Saharan Africa,2022,5500295,40.4,9.45686
TCD,Chad,Sub-Saharan Africa,2022,17449262,45.3,15.54412
CHL,Chile,OECD,2022,19592428,78.2,47.65797
CHN,China,East & South Asia,2022,1425925386,72.0,77.05639
COL,Colombia,OECD,2022,51788827,70.1,35.94711
COM,Comoros,Sub-Saharan Africa,2022,829245,51.7,--
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,2022,97413858,48.6,20.58877
COG,"Congo, Rep.",Sub-Saharan Africa,2022,5902552,52.6,--
CRI,Costa Rica,OECD,2022,5167063,73.6,41.50536
CIV,Cote d'Ivoire,Sub-Saharan Africa,2022,27810491,62.3,31.12911
HRV,Croatia,E. Europe & C. Asia,2022,4041171,81.5,59.16224
CUB,Cuba,LAC,2022,11220585,74.1,--
CYP,Cyprus,E. Europe & C. Asia,2022,904705,72.5,51.21435
CZE,Czechia,OECD,2022,10497505,81.9,72.07629
DNK,Denmark,OECD,2022,5867977,85.7,88.75445
DJI,Djibouti,Sub-Saharan Africa,2022,1113147,52.7,--
DOM,Dominican Republic,LAC,2022,11175767,72.1,--
_E_S_Asia,East and South Asia,,2022,,67.2,52.65795
_E_Euro_Asia,Eastern Europe and Central Asia,,2022,,71.8,42.67425
ECU,Ecuador,LAC,2022,17905446,70.4,39.16094
EGY,"Egypt, Arab Rep.",MENA,2022,110132806,69.6,46.46831
SLV,El Salvador,LAC,2022,6323795,70.7,34.44166
EST,Estonia,OECD,2022,1327600,81.7,67.92386
SWZ,Eswatini,Sub-Saharan Africa,2022,1197454,57.9,--
ETH,Ethiopia,Sub-Saharan Africa,2022,121822590,54.5,18.73589
FJI,Fiji,Oceania,2022,926466,72.9,--
FIN,Finland,OECD,2022,5538263,86.8,87.19487
FRA,France,OECD,2022,64560542,82.0,78.64905
GAB,Gabon,Sub-Saharan Africa,2022,2365207,63.1,34.29076
GMB,"Gambia, The",Sub-Saharan Africa,2022,2672890,58.3,22.16607
GEO,Georgia,E. Europe & C. Asia,2022,3753319,75.0,39.72905
DEU,Germany,OECD,2022,83426789,83.4,89.63743
GHA,Ghana,Sub-Saharan Africa,2022,33154506,61.8,36.47707
GRC,Greece,OECD,2022,10409612,78.4,61.3004
GTM,Guatemala,LAC,2022,17722702,59.4,23.46591
GIN,Guinea,Sub-Saharan Africa,2022,13695093,54.9,14.2234
GUY,Guyana,LAC,2022,806572,67.4,--
HTI,Haiti,LAC,2022,11516043,52.6,--
_HIC,High-income Countries,,2022,,78.2,81.93565
HND,Honduras,LAC,2022,10354955,62.9,26.01162
HUN,Hungary,OECD,2022,9688547,79.4,64.22007
ISL,Iceland,OECD,2022,371672,78.3,76.8848
IND,India,East & South Asia,2022,1412319817,63.4,39.85245
IDN,Indonesia,East & South Asia,2022,274616289,70.2,40.22757
