country_code_iso3,country,regions_used_for_the_sdr,correlation_coefficient_sdg8_1,correlation_coefficient_sdg8_2,correlation_coefficient_sdg8_3,correlation_coefficient_sdg8_4,correlation_coefficient_sdg8_5,correlation_coefficient_sdg8_6,correlation_coefficient_sdg8_7,correlation_coefficient_sdg8_11,correlation_coefficient_sdg8_12,correlation_coefficient_sdg8_13,correlation_coefficient_sdg8_14,correlation_coefficient_sdg8_15,correlation_coefficient_sdg8_16,correlation_coefficient_sdg9_1,correlation_coefficient_sdg9_2,correlation_coefficient_sdg9_3,correlation_coefficient_sdg9_4,correlation_coefficient_sdg9_5,correlation_coefficient_sdg9_6,correlation_coefficient_sdg9_7,correlation_coefficient_sdg9_11,correlation_coefficient_sdg9_12,correlation_coefficient_sdg9_13,correlation_coefficient_sdg9_14,correlation_coefficient_sdg9_15,correlation_coefficient_sdg9_16,correlation_coefficient_sdg10_1,correlation_coefficient_sdg10_2,correlation_coefficient_sdg10_3,correlation_coefficient_sdg10_4,correlation_coefficient_sdg10_5,correlation_coefficient_sdg10_6,correlation_coefficient_sdg10_7,correlation_coefficient_sdg10_11,correlation_coefficient_sdg10_12,correlation_coefficient_sdg10_13,correlation_coefficient_sdg10_14,correlation_coefficient_sdg10_15,correlation_coefficient_sdg10_16,correlation_coefficient_sdg17_1,correlation_coefficient_sdg17_2,correlation_coefficient_sdg17_3,correlation_coefficient_sdg17_4,correlation_coefficient_sdg17_5,correlation_coefficient_sdg17_6,correlation_coefficient_sdg17_7,correlation_coefficient_sdg17_11,correlation_coefficient_sdg17_12,correlation_coefficient_sdg17_13,correlation_coefficient_sdg17_14,correlation_coefficient_sdg17_15,correlation_coefficient_sdg17_16
TUR,Türkiye,OECD,1.0000000000000002,1.0000000000000002,1,0.9999999999999999,1.0000000000000002,1,1,1,0.9999999999999999,1,1,1,1.0000000000000002,1,0.9999999999999998,1,0.9999999999999999,0.9999999999999999,0.9999999999999999,1,1,1,1,0.9999999999999998,1,1.0000000000000002,1,1.0000000000000002,1,1,0.9999999999999998,1,1,1,1,1,1.0000000000000002,1,1.0000000000000002,1,0.9999999999999999,0.9999999999999999,0.9999999999999999,1,1,1,1.0000000000000002,1,1,0.9999999999999998,0.9999999999999998,1.0000000000000002
EST,Estonia,OECD,1,0.9999999999999999,1,1,1,0.9999999999999999,0.9999999999999999,1,1,1,1,1,1.0000000000000002,1.0000000000000002,1,1,1,1.0000000000000002,0.9999999999999999,1,0.9999999999999998,0.9999999999999998,0.9999999999999999,1.0000000000000002,1,1.0000000000000002,1.0000000000000002,1,0.9999999999999998,1.0000000000000002,1,1,0.9999999999999999,1,1,1,1,0.9999999999999998,0.9999999999999998,1.0000000000000002,1,0.9999999999999999,1,0.9999999999999999,1,0.9999999999999999,1,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.9999999999999999,1
ESP,Spain,OECD,1,1.0000000000000002,1,0.9999999999999998,0.9999999999999999,1,1,1,1.0000000000000002,0.9999999999999999,0.9999999999999999,1,1,1,1.0000000000000002,1.0000000000000002,1.0000000000000002,1,1,1,1.0000000000000002,1.0000000000000002,1,1,1,0.9999999999999998,1,1.0000000000000002,0.9999999999999998,1,0.9999999999999999,1,1,0.9999999999999998,1.0000000000000002,0.9999999999999999,0.9999999999999999,1,0.9999999999999999,0.9999999999999999,1.0000000000000002,1,1,0.9999999999999999,0.9999999999999997,1,1,1,0.9999999999999999,0.9999999999999998,1,1
MEX,Mexico,OECD,0.9999999999999999,0.9999999999999998,1.0000000000000002,1.0000000000000002,1,1.0000000000000002,1.0000000000000002,1,1.0000000000000002,1,1,1.0000000000000002,1.0000000000000002,1,0.9999999999999999,1.0000000000000002,1,1.0000000000000002,0.9999999999999998,1,0.9999999999999999,1,0.9999999999999999,0.9999999999999998,1.0000000000000002,1,0.9999999999999999,0.9999999999999998,1,1.0000000000000002,1,1.0000000000000002,1,1.0000000000000002,0.9999999999999999,1.0000000000000002,1.0000000000000002,1,1,1,1,1,1.0000000000000002,1,0.9999999999999998,0.9999999999999998,1.0000000000000002,1,1,1,1,1.0000000000000002
AUS,Australia,OECD,1.0000000000000002,0.9999999999999999,1.0000000000000002,0.9999999999999998,1,0.9999999999999998,0.9999999999999999,1,1.0000000000000002,1,1,1,1,1,0.9999999999999999,1,1,1,0.9999999999999998,0.9999999999999999,1,1,1,0.9999999999999998,1,1,1,1.0000000000000002,1.0000000000000002,1.0000000000000002,1,1,0.9999999999999999,1,1.0000000000000002,0.9999999999999999,1,1,1,1,1,1,1,1,1,0.9999999999999997,1,1,1,1.0000000000000002,0.9999999999999998,1
BEL,Belgium,OECD,0.9999999999999998,1.0000000000000002,1.0000000000000002,1,1,1,1,1,1,0.9999999999999998,1,1,1,0.9999999999999999,0.9999999999999999,1.0000000000000002,1,1,0.9999999999999999,1.0000000000000002,1,0.9999999999999998,1,1.0000000000000002,1.0000000000000002,1,1,1.0000000000000002,1,1.0000000000000002,1,1.0000000000000002,1,1,1,1,1,1,1.0000000000000002,0.9999999999999998,1,0.9999999999999999,0.9999999999999998,1.0000000000000002,1,1,1,0.9999999999999999,1,1.0000000000000002,1,0.9999999999999999
ISL,Iceland,OECD,1,1.0000000000000002,1,1,1,1,1,1,1,1,1,1,0.9999999999999998,1,1.0000000000000002,1.0000000000000002,1,1,1.0000000000000002,0.9999999999999998,1.0000000000000002,0.9999999999999999,1.0000000000000002,0.9999999999999999,1.0000000000000002,1,1,1,1,1,1.0000000000000002,0.9999999999999999,1,1,1,1,0.9999999999999999,1,1,1,1,1,1,1.0000000000000002,1,0.9999999999999998,1,0.9999999999999999,1,1,1,0.9999999999999998
KOR,"Korea, Rep.",OECD,1,1,1,1,1,1,0.9999999999999999,0.9999999999999998,1,0.9999999999999999,0.9999999999999999,1.0000000000000002,1,0.9999999999999999,0.9999999999999998,0.9999999999999998,1,0.9999999999999999,1,1,0.9999999999999998,1,0.9999999999999998,1,1,1,0.9999999999999998,1,1,0.9999999999999998,1,1,1,1,0.9999999999999999,0.9999999999999998,1,1,1,1,1,1,1,1.0000000000000002,1,1.0000000000000002,0.9999999999999999,1,0.9999999999999998,1,1.0000000000000002,1.0000000000000002
COL,Colombia,OECD,1.0000000000000002,1,1,1.0000000000000002,0.9999999999999999,1,1,1,1,1,0.9999999999999998,1.0000000000000002,1,0.9999999999999998,1,1,1,0.9999999999999999,1,1.0000000000000002,1,1,1,0.9999999999999999,1,1.0000000000000002,1,1,1,1,0.9999999999999999,1.0000000000000002,1.0000000000000002,1.0000000000000004,1,0.9999999999999998,1,1.0000000000000002,1,1,1.0000000000000002,1.0000000000000002,1.0000000000000002,1,1,1,1,1,1,1,0.9999999999999999,1
LVA,Latvia,OECD,1,0.9999999999999999,1,1,1,1,1,1.0000000000000002,1.0000000000000002,1,1,1.0000000000000002,1.0000000000000002,0.9999999999999998,0.9999999999999999,1,0.9999999999999998,1,0.9999999999999999,1,1,0.9999999999999998,0.9999999999999999,1,0.9999999999999998,1,1,0.9999999999999998,0.9999999999999998,1,0.9999999999999999,1,1,0.9999999999999999,0.9999999999999998,0.9999999999999999,0.9999999999999999,1,1,1,1,1,1,1,0.9999999999999999,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1,1.0000000000000002,1
