Neonatal_mortality_rate,Year_sdg3_neonat,sdg3_neonat,Life_expectancy_at_birth,Year_sdg3_lifee,Score_sdg3_lifee,Maternal_mortality_rate,Year_sdg3_matmort,sdg3_matmort,Adjusted_GDP_growth,Year_sdg8_adjgrowth,sdg8_adjgrowth
1.274,2021,99.549,81.61,2019,95.207,8.34,2020,99.391,0.851,2021,78.939
1.351,2021,99.35,82.4,2019,97.931,4.51,2020,99.863,0.751,2021,78.431
2.477,2021,96.433,81.32,2019,94.207,4.66,2020,99.845,1.433,2021,81.893
2.193,2021,97.168,81.72,2019,95.586,4.43,2020,99.873,-0.831,2021,70.401
2.344,2021,96.777,81.65,2019,95.345,5.23,2020,99.774,-1.101,2021,69.03
2.529,2021,96.298,82.48,2019,98.207,7.91,2020,99.444,0.207,2021,75.67
1.29,2021,99.508,82.62,2019,98.69,1.66,2020,100,2.598,2021,87.807
1.441,2021,99.117,79.13,2019,86.655,3.37,2020,100,0.501,2021,77.162
2.764,2021,95.689,78.27,2019,83.69,1.96,2020,100,2.531,2021,87.467
0.884,2021,100,78.88,2019,85.793,5.18,2020,99.78,2.083,2021,85.193
2.796,2021,95.606,81.4,2019,94.483,9.84,2020,99.206,-0.639,2021,71.376
2.776,2021,95.658,78.64,2019,84.966,4.82,2020,99.825,2.502,2021,87.32
1.276,2021,99.544,81.31,2019,94.172,4.53,2020,99.861,0.827,2021,78.817
2.05,2021,97.539,75.38,2019,73.724,18.32,2020,98.159,0.019,2021,74.716
2.702,2021,95.85,83.45,2019,100,7.38,2020,99.509,0.236,2021,75.817
1.783,2021,98.231,83.22,2019,100,3.44,2020,99.995,-3.177,2021,58.492
2.061,2021,97.51,81.84,2019,96,4.98,2020,99.805,5.612,2021,100
1.706,2021,98.43,81.57,2019,95.069,11.8,2020,98.964,-2.273,2021,63.081
2.429,2021,96.557,81.42,2019,94.552,4.76,2020,99.832,1.455,2021,82.005
2.678,2021,95.912,81.79,2019,95.828,4.31,2020,99.888,0.736,2021,78.355
0.815,2021,100,84.26,2019,100,4.31,2020,99.888,-3.021,2021,59.284
2.074,2021,97.477,76.44,2019,77.379,15.05,2020,98.563,1.375,2021,81.599
2.798,2021,95.601,78.23,2019,83.552,4.82,2020,99.825,-1.189,2021,68.584
1.471,2021,99.039,82.97,2019,99.897,4.59,2020,99.853,-0.486,2021,72.152
10.529,2021,75.573,73.26,2019,66.414,12.26,2020,98.907,1.875,2021,84.137
3.41,2021,94.016,82.24,2019,97.379,11.01,2020,99.061,-0.951,2021,69.792
2.543,2021,96.262,81.96,2019,96.414,7.03,2020,99.552,0.362,2021,76.457
2.246,2021,97.031,81.1,2019,93.448,7.65,2020,99.476,-1.508,2021,66.964
1.355,2021,99.339,82.33,2019,97.69,2.65,2020,100,-2.142,2021,63.746
4.284,2021,91.751,80.74,2019,92.207,15.03,2020,98.565,-0.254,2021,73.33
1.384,2021,99.264,83.3,2019,100,8.12,2020,99.418,-0.114,2021,74.041
3.997,2021,92.495,77.1,2019,79.655,18.64,2020,98.12,-2.093,2021,63.995
1.652,2021,98.57,82.41,2019,97.966,6.49,2020,99.619,2.954,2021,89.614
0.873,2021,100,74.81,2019,71.759,1.1,2020,100,-0.447,2021,72.35
3.233,2021,94.474,75.57,2019,74.379,10.07,2020,99.177,3.31,2021,91.421
3.553,2021,93.645,75.87,2019,75.414,10.18,2020,99.164,2.557,2021,87.599
