country_code_iso3,country,2023_sdg_index_score,adjusted_gdp_growth,year_sdg8_adjgrowth,sdg8_adjgrowth,sdg_3_score,sdg_4_score,government_spending_on_health_and_education,year_sdg17_govex,sdg17_govex
FIN,Finland,86.760594779,0.851,2021,78.939,95.386384615,97.169333333,13.7,2020,91.333
SWE,Sweden,85.981396976,0.751,2021,78.431,96.904,99.761666667,16.95,2020,100
DNK,Denmark,85.683636809,1.433,2021,81.893,95.3985,99.339666667,15.31,2020,100
DEU,Germany,83.358446511,-0.831,2021,70.401,93.039357143,97.162666667,14.72,2020,98.133
AUT,Austria,82.280189334,-1.101,2021,69.03,92.468,97.914333333,13.83,2020,92.2
FRA,France,82.048342711,0.207,2021,75.67,93.224571429,99.63,14.86,2020,99.067
NOR,Norway,82.004489146,2.598,2021,87.807,97.115142857,97.987333333,15.69,2020,100
CZE,Czechia,81.874552233,0.501,2021,77.162,90.150615385,93.870333333,13.16,2020,87.733
POL,Poland,81.800175558,2.531,2021,87.467,85.169461538,97.4505,9.86,2020,65.733
EST,Estonia,81.683346473,2.083,2021,85.193,89.497,96.052,12.55,2020,83.667
GBR,United Kingdom,81.653142717,-0.639,2021,71.376,93.076333333,98.193,15.55,2020,100
HRV,Croatia,81.495508824,2.502,2021,87.32,86.357857143,95.655,11.9,2020,79.333
SVN,Slovenia,81.006653661,0.827,2021,78.817,92.355285714,95.61125,12.62,2020,84.133
LVA,Latvia,80.681642876,0.019,2021,74.716,84.304642857,97.83275,10.69,2020,71.267
CHE,Switzerland,80.537389067,0.236,2021,75.817,96.028642857,98.525,9.43,2020,62.867
ESP,Spain,80.425091488,-3.177,2021,58.492,94.237857143,97.4235,12.44,2020,82.933
IRL,Ireland,80.14793835,5.612,2021,100,94.441,98.985,8.7,2020,58
PRT,Portugal,80.017487179,-2.273,2021,63.081,92.073357143,98.59225,11.81,2020,78.733
BEL,Belgium,79.455058442,1.455,2021,82.005,93.391833333,95.316666667,15.47,2020,100
NLD,Netherlands,79.421189152,0.736,2021,78.355,95.670857143,99.293,12.96,2020,86.4
JPN,Japan,79.414127742,-3.021,2021,59.284,94.574076923,93.934333333,12.61,2020,84.067
HUN,Hungary,79.393445339,1.375,2021,81.599,83.639615385,92.7565,9.92,2020,66.133
SVK,Slovak Republic,79.120326118,-1.189,2021,68.584,87.782714286,81.983666667,10.42,2020,69.467
ITA,Italy,78.786836071,-0.486,2021,72.152,93.863428571,94.19,11.6,2020,77.333
MDA,Moldova,78.634375618,1.875,2021,84.137,76.634,99.62675,10.779,2020,71.86
CAN,Canada,78.496779682,-0.951,2021,69.792,93.873846154,99.399666667,14.87,2020,99.133
NZL,New Zealand,78.433330655,0.362,2021,76.457,92.4825,94.140333333,13.72,2020,91.467
GRC,Greece,78.36883446,-1.508,2021,66.964,90.324857143,97.13575,9.57,2020,63.8
