Country_Code_ISO3,Country,Year_sdg10_gini,Score_sdg10_gini,Palma_ratio,Year_sdg10_palma,Score_sdg10_palma
FIN,Finland,2019,99.437,0.94,2020,97.5
SWE,Sweden,2019,94.93,0.98,2020,95
DNK,Denmark,2019,99.437,0.95,2019,96.875
DEU,Germany,2018,88.169,1.09,2019,88.125
AUT,Austria,2019,92.394,0.95,2019,96.875
FRA,France,2018,86.197,1.08,2019,88.75
NOR,Norway,2019,99.437,0.91,2020,99.375
CZE,Czechia,2019,100,0.84,2019,100
POL,Poland,2018,92.394,0.99,2018,94.375
EST,Estonia,2019,90.704,1.1,2019,87.5
GBR,United Kingdom,2017,78.592,1.47,2020,64.375
HRV,Croatia,2019,96.056,1.023,2019,92.312
SVN,Slovenia,2019,100,0.83,2019,100
LVA,Latvia,2019,80.282,1.46,2020,65
CHE,Switzerland,2018,84.225,1.21,2019,80.625
ESP,Spain,2019,80.845,1.19,2019,81.875
IRL,Ireland,2018,91.268,1.07,2018,89.375
PRT,Portugal,2019,85.07,1.16,2019,83.75
BEL,Belgium,2019,100,0.9,2019,100
NLD,Netherlands,2019,95.211,1.15,2020,84.375
JPN,Japan,2013,84.789,1.28,2018,76.25
HUN,Hungary,2019,92.958,1.02,2019,92.5
SVK,Slovak Republic,2019,100,0.71,2019,100
ITA,Italy,2018,78.31,1.26,2018,77.5
MDA,Moldova,2019,100,0.913,2019,99.188
CAN,Canada,2017,83.662,0.98,2020,95
GRC,Greece,2019,84.225,1.14,2019,85
ISL,Iceland,2017,100,0.87,2017,100
CHL,Chile,2020,50.986,2.55,2017,0
KOR,"Korea, Rep.",2016,89.014,1.28,2020,76.25
URY,Uruguay,2020,64.225,1.869,2020,39.438
LUX,Luxembourg,2019,81.127,1.11,2019,86.875
BLR,Belarus,2020,100,0.835,2020,100
ROU,Romania,2019,79.437,1.3,2019,75
SRB,Serbia,2019,80.282,1.376,2019,70.25
LTU,Lithuania,2019,78.028,1.48,2019,63.75
UKR,Ukraine,2020,100,0.897,2020,100
